user_id,birthday,gender,auction_id,cat_id,cat1,property,buy_mount,day,birthday_date,day_date,age
2757,20130311,1,17429550751,50010555,50008168,21458:30992;25935:31381;1628665:29796;1628665:133527;1628665:29785;22019:3238327;22019:3228688;22019:3265977;22019:3340598;3783431:38363839;32047:93471;13394971:29563;1628366:30915;8151548:29800;3988915:104912;1628348:11468;3731658:30903;35397:98170;1633959:33625815,1,20130410,2013-03-11,2013-04-10,1
415971,20121111,0,20854308837,50010548,50008168,1628665:131622;25935:21991;22019:31001;22019:3340598;22019:3284610;1628348:11468,1,20130128,2012-11-11,2013-01-28,2
1372572,20120130,1,16915013171,50008845,28,21458:30992;1628665:3233941;1628665:3233942;1628665:3233939;1628665:92012;1628665:29790;1628665:31614;1628665:61550;1628665:3233940;1628665:3233936;1628665:3233937;1628665:29798;1628665:29778;1628665:3233938;1628665:82340;1628665:29787;1628665:29784;1628665:29793;1628665:131622;1628665:29796;1628665:133527;1628665:108579;1628665:29785;1628665:29782;1628665:29799;21475:11488282;5851534:3245869;2397831:40203,1,20130327,2012-01-30,2013-03-27,14
10339332,20110910,0,13174075495,50001732,50014815,21458:3409452;3066697:92335415;2815901:92335415;21479:82242;122217802:108306;122217802:108307;122217802:108309;122217802:108310;3316668:32831462;22891:21671;1628665:29778;1628665:29798;1628665:3233937;1628665:3233938,1,20140526,2011-09-10,2014-05-26,32
10642245,20130213,0,14109039851,50006843,38,21458:7142737;8694098:95303334;12786373:54223;21476:21797;21475:108284;6933666:96059;33595:16453265,1,20130617,2013-02-13,2013-06-17,4
10923201,20110830,1,19166868327,50013636,50008168,21458:216291676;13023209:3336448;35044286:524239677;25935:31381;32047:93470;22135:31412;122217803:30914;22009:29800;122277569:21983;2049128:117906617;22066:30993;122277668:23751657;1628665:3233942;1628665:29790;1628665:31614;1628665:3233940;1628665:3233936;1628665:3233937;1628665:29798;1628665:3233938;1628665:82340;1628665:29784;1628665:131622;1628665:29796;1628665:108579;1628665:29785;122217801:34731;122217801:2026;122217801:50793479;122217801:3287412;122217801:3377924;122217801:2375,1,20140328,2011-08-30,2014-03-28,31
11768880,20120107,1,19025967309,50012364,122650008,21458:30992;1628665:3233942;1628665:3233939;1628665:92012;22007:30389;22007:30390;22007:30391;22007:30392;22007:30393;22007:30394;22007:30395;22007:30400;22007:30338;22007:30401;1628366:30915;1629216:47570;8185014:3228727;8185016:135739;25935:21991;23378:4491253;1633959:220908110;2397831:16561164,1,20130411,2012-01-07,2013-04-11,15
12519465,20130705,1,18981655392,50018831,50014815,1556:43332;21458:21896;7255170:116596259;27133808:74615995;21487:29773;6798969:51746;7250727:21892;33337:17911787;33595:28477,1,20130910,2013-07-05,2013-09-10,2
12950574,20090708,0,37840677938,50012474,28,1628665:29790;1628665:3233936;1628665:3233937;1628665:3233938;1628665:29793;1628665:108579;1628665:29782;21458:30992;21475:135183931;13023209:4093373;23378:9704005,3,20140610,2009-07-08,2014-06-10,59
13735440,20120323,0,18163455793,211122,38,21458:138742;36816:141627536;6933553:3313377;17427297:3329357;33595:44902;21475:137319;6933666:68145978;5393572:75369289,6,20131219,2012-03-23,2013-12-19,21
14510892,20140812,1,35241818543,203527,28,21974:29869;22724:40168;22729:40249;21458:21817;2444468:17122097;21475:21793,1,20131122,2014-08-12,2013-11-22,-9
14905422,20110429,1,40739265133,50234023,50014815,13023209:680187509;21458:120745246;2815901:680187509;33969:54103884,1,20150205,2011-04-29,2015-02-05,46
15786531,20080922,0,40445341453,50010557,50008168,25935:21991;1628665:3233941;122217801:3340598;122217801:34731;122217801:125938;122217801:2026;122217801:50793479;32047:93470;1627368:3218565;122217965:3227750;22009:106713;33069:104880;22121:30905;1628348:11468,1,20140828,2008-09-22,2014-08-28,71
16265490,20091209,0,9497763160,50006602,50008168,21458:28911;30497:46155;30498:46160;1628665:29778;1628665:3233938;1628324:3473865;1628324:3229496;1628324:38368874;1628324:19811010;1628366:30915;25935:31381,2,20130409,2009-12-09,2013-04-09,40
17431245,20110115,0,9757291856,50016116,38,21458:94558;33595:110208;6933666:137594;4416375:14072987;15250478:7155932,1,20121111,2011-01-15,2012-11-11,22
18190851,20110101,0,17092246580,50014129,28,11945782:7813537;12082847:107548441;21475:11488282;21458:153765928;20484147:214966159,2,20130331,2011-01-01,2013-03-31,26
20087991,20100808,0,37848480268,50016706,50022520,1628665:3233941;1628665:3233942;1628665:3233939;1628665:92012;1628665:29790;1628665:31614;1628665:61550;1628665:3233940;1628665:3233936;1628665:3233937;1628665:29798;1628665:29778;1628665:3233938;1628665:82340;1628665:29787;1628665:29784;1628665:29793;1628665:131622;1628665:29796;21967:29773;21967:29774;21967:29775;21967:29776;21967:85955;122218232:7137359;122218233:3559330;5316831:7106884;22135:31410;122218237:109756589;21479:29800;21477:22516235;21458:128213732;15385552:4462424,1,20140601,2010-08-08,2014-06-01,46
20570454,20081017,1,5764432116,211122,38,21458:21782;36786:42781029;6933553:20337137;13023102:3312418;33595:40732;21475:114229;6933666:68145978;14814533:40732,4,20121124,2008-10-17,2012-11-24,49
21137271,20110204,1,17691567559,50013636,50008168,21458:29300727;1633959:3703972;15068446:3703972;25935:21990;32047:93470;22135:31412;1628366:30916;8151548:29802;13529746:21983;13529646:117906617;13394971:30993;22022:102274034;13539026:117942785;1628665:3233939;1628665:29798;22019:3238422;22019:50793479;22019:3251926;22019:3287412;22019:3263874;22019:3377924,1,20121122,2011-02-04,2012-11-22,21
21415917,20060801,1,16866228043,50013636,50008168,21458:11580;22019:2026;22019:34731;22019:3284610;22019:3287412;22019:3377924;22019:50793479;22022:102274034;22135:31412;25935:21990;32047:93470;1628366:30915;1628665:92012;13394971:30993;13529646:117906617;13529746:31730;13539026:3548306,2,20120808,2006-08-01,2012-08-08,72
21887268,20100526,0,35498150675,50006602,50008168,30497:46154;30498:46160;1628665:3233941;1628665:3233942;1628665:3233939;1628324:3473865;1628324:3229496;1628324:38368874;5426651:29841;1628366:3230095;25935:31381;21458:37148508;1633959:3257029,2,20131216,2010-05-26,2013-12-16,43
22602471,20090601,1,37335072772,50016102,28,21458:3247837;21479:28619;1628665:3233941;1628665:3233942;122218042:41345394;4044098:50483;11684888:11468;21475:135183931,1,20150101,2009-06-01,2015-01-01,67
23208537,20080416,1,12897458131,50013636,50008168,21458:94850881;1633959:109239;13793737:48947;25935:31381;32047:93471;22135:116934;1628366:30916;13529746:21983;13529646:117906618;13394971:30993;22022:102274034;13539026:3548306;1628665:29790;1628665:29798;1628665:133527;22019:34731;22019:2026;22019:50793479;22019:3287412;22019:3377924,1,20130120,2008-04-16,2013-01-20,57
23927133,20081029,0,9566799856,50016243,28,21475:21793;1628665:29778;1628665:29782;1628665:29784;1628665:29785;1628665:29787;1628665:29790;1628665:29793;1628665:29796;1628665:29798;1628665:29799;1628665:31614;1628665:61550;1628665:82340;1628665:92012;1628665:108579;1628665:131622;1628665:133527;1628665:3233936;1628665:3233937;1628665:3233938;1628665:3233939;1628665:3233940;1628665:3233941;1628665:3233942;11666049:40203,1,20130121,2008-10-29,2013-01-21,51
24829944,20140826,1,15098657498,50011819,50022520,21458:21910;5163602:47386;5185211:70306389;122277539:3820625;13023209:8984486;122277599:7550999;22757:21671,2,20140920,2014-08-26,2014-09-20,1
25807593,20141122,1,14593091524,50026459,50022520,21458:119256;122277538:97699,5,20140722,2014-11-22,2014-07-22,-4
